win_width,win_step,nb_species,nb_replic,f_opt_max,seqgen_par0,seqgen_par1,seqgen_par2,scaling_factor0,scaling_factor1,scaling_factor2,lv_q_func_ratio_avg,lv_rand_ratio_avg
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.5,1,1,1.10880744091214,0.995721804608088
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",1.0,1,1,1.01183110450835,0.992247563647518
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",2.0,1,1,1.11557984819528,0.99680522466656
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",3.0,1,1,1.19595318464707,0.999582755032699
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",4.0,1,1,1.24315217950983,0.997419766892215
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",5.0,1,1,1.28106421954953,0.988483724381484
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",6.0,1,1,1.2655484543946,0.988787420778637
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",7.0,1,1,1.23894799619695,0.997836281339698
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",8.0,1,1,1.26493152750339,0.985071396231679
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",9.0,1,1,1.23604918877303,1.00165582890952
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",10.0,1,1,1.21837190736219,1.00213070260544
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.1,1,1,5.9379227454984,0.99896419796782
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.11,1,1,5.54833803758445,1.00459752799459
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.13,1,1,5.02057653927167,0.986794712616489
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.14,1,1,4.64275935977625,1.00787197392004
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.17,1,1,3.56468450870841,0.998820500019369
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.2,1,1,2.97122546722217,0.983728670909889
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.25,1,1,2.34963951733636,0.983264784396843
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.33,1,1,1.82170313404419,0.98986401016798
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",0.5,1,1,1.35982069853937,0.990570817138214
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1.0,1,1,0.994927086120466,0.992725070056003
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",2.0,1,1,0.901527257001819,0.989669864829542
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",3.0,1,1,0.878083277256503,0.999705319313375
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",4.0,1,1,0.900342599282329,0.979300169708074
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",5.0,1,1,0.890258392206222,0.99289918515874
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",6.0,1,1,0.889601318250777,0.98480646714862
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",7.0,1,1,0.8915530092352,0.984330793922837
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",8.0,1,1,0.874955606486614,0.98859914826873
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",9.0,1,1,0.872664829972186,0.992703750231481
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",10.0,1,1,0.872166770281803,0.996841945018894
